"id_cliente;renda;profissao;val_compra;val_venda;tm_compra;tm_venda;acoes;acoes_dif;ativo_m1;ligou_cr_m1"
"280249781;De 0 a 5k;B;0;2941,2573;;29,412573;9900;40;1;0"
"706585147;De 5 a 10k;A;0;9388,480268;;15,64746711;7800;20;1;0"
"968252151;De 0 a 5k;A;0;0;;;1600;5;0;1"
"395769633;De 5 a 10k;C;0;4488,875068;;11,22218767;7200;30;1;0"
"909158440;De 5 a 10k;B;3340,069458;4143,588932;16,70034729;20,71794466;4400;10;1;1"
"644112397;De 15 a 20k;C;0;27453,64819;;22,87804016;21200;38;1;1"
"701854497;De 5 a 10k;A;16373,53547;8404,276206;20,46691934;14,00712701;8400;24;1;0"
"609802585;De 10 a 15k;B;0;43752,15122;;29,16810082;16200;50;1;0"
"185938773;De 10 a 15k;C;0;0;;;28800;115;1;0"
"839212286;De 0 a 5k;C;6647,508613;0;13,29501723;;3600;18;1;1"
"573722870;De 5 a 10k;C;20127,40155;0;20,12740155;;2400;4;1;0"
"780855095;De 0 a 5k;A;7137,297084;0;17,84324271;;1800;5;1;0"
"482352430;De 0 a 5k;C;1001,565009;0;10,01565009;;5600;10;1;0"
"150518561;De 0 a 5k;A;1755,447006;8782,435894;17,55447006;21,95608973;4600;9;1;0"
"387380805;De 15 a 20k;C;0;12265,79644;;15,33224555;1600;15;1;0"
"417933034;De 15 a 20k;B;0;41051,6664;;25,6572915;15200;29;1;0"
"148017363;De 0 a 5k;B;3175,788562;0;10,58596187;;5500;16;1;1"
"235488943;De 5 a 10k;C;23758,00456;0;29,6975057;;3400;7;1;0"
"296932141;De 10 a 15k;C;14257,4338;7193,868558;23,76238966;11,98978093;27600;46;1;0"
"700835693;De 5 a 10k;A;0;16288,42154;;16,28842154;8200;18;1;0"
"107458557;De 10 a 15k;A;5764,929317;6151,420943;19,21643106;10,25236824;25200;72;1;0"
"795310128;De 15 a 20k;A;0;7323,975409;;18,30993852;18000;71;1;0"
"466620199;De 5 a 10k;B;0;0;;;18200;173;1;0"
"611229124;De 0 a 5k;A;12485,85439;11037,50273;24,97170877;27,59375682;3900;8;1;0"
"187242430;De 10 a 15k;C;0;0;;;12000;67;1;0"
"335634707;De 0 a 5k;A;0;1780,689213;;17,80689213;9000;18;1;0"
"625071340;De 0 a 5k;A;11524,21386;0;23,04842772;;7900;16;1;0"
"487055567;De 0 a 5k;C;4979,510741;0;24,8975537;;500;1;0;1"
"916125193;De 5 a 10k;C;0;2579,169504;;12,89584752;5200;14;1;1"
"925957560;De 0 a 5k;B;0;0;;;9100;31;0;1"
"897762013;De 5 a 10k;A;11964,9904;0;19,94165067;;18400;40;1;0"
"986757011;De 10 a 15k;A;0;0;;;29700;179;1;0"
"834755998;De 15 a 20k;C;13590,7269;24963,87221;16,98840863;15,60242013;39200;138;1;0"
"540733944;De 5 a 10k;C;0;28521,52218;;28,52152218;1400;4;1;0"
"483573823;De 0 a 5k;B;0;0;;;2100;4;1;0"
"733354533;De 0 a 5k;B;3149,995832;0;15,74997916;;9600;22;1;0"
"572801436;De 0 a 5k;C;4433,058154;5202,330057;22,16529077;26,01165028;4600;17;1;0"
"227234363;De 0 a 5k;C;3443,153072;0;17,21576536;;2000;5;1;0"
"674014555;De 0 a 5k;A;8689,999242;0;17,37999848;;3700;8;1;0"
"122251259;De 10 a 15k;C;7523,564423;16398,58872;25,07854808;13,6654906;27900;58;1;0"
"693655906;De 0 a 5k;C;7881,62384;5922,385769;19,7040596;29,61192885;9300;25;1;1"
"115415786;De 5 a 10k;A;7879,097393;4504,077127;19,69774348;22,52038564;6200;17;1;0"
"712871641;De 5 a 10k;A;28540,37864;0;28,54037864;;19600;165;1;0"
"953598490;De 10 a 15k;A;35076,37176;7715,243941;29,2303098;12,8587399;28800;60;1;0"
"242745723;De 5 a 10k;A;0;11298,83054;;28,24707635;5200;10;1;1"
"146686957;De 0 a 5k;A;2979,941703;7096,645241;14,89970852;23,65548414;9800;21;1;0"
"624837695;De 10 a 15k;B;16143,58321;0;26,90597202;;15600;29;1;0"
"107050454;De 0 a 5k;B;0;7716,060753;;19,29015188;4100;19;1;1"
"990793385;De 15 a 20k;B;22099,99057;0;11,04999528;;30000;118;1;1"
"308509645;De 5 a 10k;B;3413,124576;0;17,06562288;;7600;17;1;0"
"112929995;De 0 a 5k;C;0;5935,931976;;19,78643992;1900;13;1;0"
